17-les-grands-vins-de-notre-cave		#	Tous les vins situés dans Notre Cave sont dans nos entrepôts, il nous est donc possible de vous garantir des   !Découvrez nos multiples  (Rosés, Blancs, Vins Bios...) ou en provenance des  et d'ailleurs (Bourgogne, Bordeaux, Champagne, Vallée du Rhône, Languedoc-Roussillon, Vins du monde)	|accueil	https://grandsvins-prives.com/17-les-grands-vins-de-notre-cave	
44-beaujolais	Beaujolais	9	Notre sélection de Beaujolais : Saint Amour, Juliénas, Chénas, Fleurie, Chiroubles, Morgon, Régnié, Les Côtes de Brouilly, Brouilly.Les vins du Beaujolais ont aujourd’hui l’avantage d’être considérés comme les vins au meilleur rapport prix/plaisir.	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/44-beaujolais	
37-bourgogne	Bourgogne	19	Notre sélection des plus belles appellations Bourguignonnes : Chablis, Beaune, Saint-Romain, Meursault, Chassagne-Montrachet, Nuits-Saint-Georges, Corton … Laissez-vous tenter par nos pépites.	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/37-bourgogne	
40-alsace	Alsace	19	Découvrez et dégustez nos vins d'Alsace ! La renommée de l’Alsace est en grande partie due aujourd’hui à ses Grands Crus. Il y en à 51 et sont tous différents grâce à la diversité des sols et du climat.  On retrouve trois appellations majeures en Alsace ; l’appellation Alsace Contrôlée, l’appellation Alsace Grands Crus Contrôlée à laquelle se rajoute deux types de mentions possibles : les Vendanges Tardives et la Sélection de Grains Nobles, et l’appellation Crémant d’Alsace Contrôlée.	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/40-alsace	
45-jura-savoie	Jura - Savoie	1	Découvrez le style incomparable des vins du Jura et de la Savoie. Deux petites régions de production mais certainement deux régions atypiques !	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/45-jura-savoie	
42-sud-ouest	Sud-Ouest	17	Le vignoble de Sud-Ouest fait partie des plus anciens vignobles de France. Situé en-dessous du vignoble de Bordeaux, son histoire remonte à l’antiquité, lorsque les romains, présents dans les régions du Sud de la France, ramenèrent la vigne. Le vin devient rapidement la boisson phare.Le vignoble du Sud-Ouest se découpe en plusieurs appellations : Cahors, Madiran, Côtes de Gascogne, Bergerac sec...	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/42-sud-ouest	
38-languedoc-roussillon	Languedoc-Roussillon	29	Retrouvez les plus belles appellations du Languedoc-Roussillon : Banyuls, Coteaux du Languedoc, Côtes du Roussillon-villages... Apportez un peu de chaleur à tous vos repas !	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/38-languedoc-roussillon	
43-provence-corse	Provence - Corse	14	Cette catégorie vous offre la possibilité de voyager au coeur du vignoble Provence-Corse réputé pour ses rosés, ainsi que ses blancs et rouges. Vous retrouverez dans cette sélection des vins aux saveurs ensoleillées qui n'attendent que vous !	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/43-provence-corse	
	#	#	#	#	https://grandsvins-prives.com/	
24-coups-de-coeur		18	Cette sélection de vins est la garantie de faire plaisir à ses convives ! Ces bouteilles sont toujours les premières sorties de la cave, en tout cas chez nous !Vous voulez en savoir plus sur nous ? Découvrez la présentation des membres de l'équipe sur la page "Qui sommes-nous ?".	|accueil	https://grandsvins-prives.com/24-coups-de-coeur	
82-grands-formats	Grands Formats	30	Sélection de  et de  de ,  et de Offre limitée en quantité, 	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/82-grands-formats	
83-spiritueux	Spiritueux	18	Pour réchauffer les esprits et les corps, et parce qu'une belle bouteille de spiritueux est toujours un très beau cadeau, offrez du , du , du Gin, de la  ou du  !Offre limitée en quantité, 	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/83-spiritueux	
39-nos-grands-roses	Nos Rosés	4	Découvrez notre  frais et savoureux en provenance de , du , du  de , de , 	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/39-nos-grands-roses	
18-nos-blancs-d-hiver	Nos Blancs D'Hiver	65	Découvrez notre sélection axée sur la texture et le joli gras avec des en provenance de , d'Alsace, de la , de la Vallée du Rhône, du...  !	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/18-nos-blancs-d-hiver	
12-vins-du-monde	Vins Du Monde	56	Parce qu’il y a des grands terroirs partout dans le monde et parce que nous avons soif de découverte, nous vous proposons ici des vins du monde sélectionnés pour .	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/12-vins-du-monde	
86-les-liquoreux	Les Liquoreux	16	Les Grands Vins Blancs Liquoreux de Bordeaux, d’Alsace et de Loire ! Offre limitée en quantité, 	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/86-les-liquoreux	
52-bio-et-biodynamie	Bio Et Biodynamie	17	Tous nos vins présents dans cette catégorie sont certifiés par des labels reconnus de la viticulture biologique et biodynamique (AB, Ecocert et Demeter).	|accueil|les grands vins de notre cave	https://grandsvins-prives.com/52-bio-et-biodynamie	
106-primeurs-2016	Primeurs 2016	98	Les Primeurs 2016 sont lancés ! 130 grands vins de Bordeaux 2016 en primeur disponibles à la bouteille ou en caisse d'origine.La vente en primeur vous permet de réserver des vins de Bordeaux avant leur mise en bouteille. Environ 2 ans avant la livraison. Un choix intelligent financièrement et sûr : tous nos vins proviennent des propriétés directement ou des négociants bordelais.	|accueil|primeurs	https://grandsvins-prives.com/106-primeurs-2016	
